id,lat,lon,location,hive,day,month,year,hour,min,segment,Round,Transitional,Tremble,Dance,Pollen forager on frame,dancer.id,cluster.id,runs.measured,points,minX,maxX,meanX,sdX,minY,maxY,meanY,sdY,min_duration.sec,max_duration.sec,mean_duration.sec,sd_duration.sec,minI,maxI,meanI,sdI,minLen,maxLen,meanLen,sdLen,minD2S,maxD2S,meanD2S,sdD2S,minD2R,maxD2R,meanD2R,sdD2R,minD2P,maxD2P,meanD2P,sdD2P,minV,maxV,meanV,sdV,min_angle,max_angle,mean_angle,sd_angle,minDelta,maxDelta,meanDelta,sdDelta,skew,min_angle_corr,max_angle_corr,mean_angle_corr,azimuth,heading.degrees,heading.radians,flag
,,,FF,,6,7,2021,11,0,07-06-2021_1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40.0760707,-88.24695,SD,,2,8,2021,11,9,08-02-2021_2309,,,,,,1,1,4,8,1060,1126,1081.562,25.261,662.5,733,701.25,23.755,0.434,1.001,0.792,0.27,70,91,84,7.407,23,49.341,33.244,11.424,0,49.341,16.622,19.28,NA,NA,NA,NA,23,49.341,33.244,11.424,32.563,53.024,43.269,9.517,-90,-68.009,-74.453,10.413,NA,NA,NA,NA,,0,21.991,15.547,150.7,166.247,2.901557522,
,40.0760707,-88.24695,SD,,2,8,2021,11,9,08-02-2021_2309,,,,,,2,2,4,8,1146.5,1208,1182.438,24.6,324,361,340.375,12.95,0.868,1.201,1.068,0.144,41,72,56.625,10.07,37.336,50.359,43.921,7.048,0,50.359,21.96,23.926,NA,NA,NA,NA,37.336,50.359,43.921,7.048,35.896,44.39,41.167,3.728,-15.124,7.696,-4.723,9.433,NA,NA,NA,NA,,74.876,97.696,85.277,150.7,235.977,4.118575609,
,40.0760707,-88.24695,SD,,2,8,2021,11,9,08-02-2021_2309,,,,,,3,3,4,8,1576.5,1626.5,1603.333,16.04,552.833,586.5,567.896,12.727,0.4,0.601,0.492,0.083,35,81,55,15.928,21.148,25.495,23.18,2.347,0,25.495,11.59,12.485,NA,NA,NA,NA,21.148,25.495,23.18,2.347,41.475,54.578,47.794,6.889,63.838,100.408,81.369,19.951,NA,NA,NA,NA,,153.838,190.408,171.369,150.7,322.069,5.621164469,
,40.0760707,-88.24695,SD,,2,8,2021,11,15,08-02-2021_2315,,,,,,1,1,4,8,1476.833,1551.5,1512.167,28.327,667.167,729.833,697.333,22.769,0.968,1.268,1.084,0.129,61,85,67.875,7.568,26.8,42.19,36.815,7.22,0,42.19,18.408,20.238,NA,NA,NA,NA,26.8,42.19,36.815,7.22,27.696,39.514,33.85,4.897,90,107.103,97.063,7.191,NA,NA,NA,NA,,180,197.103,187.063,153.9,340.963,5.950926977,
,40.0760707,-88.24695,SD,,2,8,2021,11,15,08-02-2021_2315,,,,,,2,2,4,8,1580.833,1627.5,1603.083,15.013,631.833,685.833,653.417,19.66,0.734,0.968,0.834,0.098,49,88,63.625,15.973,29.814,49.621,39.973,8.121,0,49.621,19.987,22.018,NA,NA,NA,NA,29.814,49.621,39.973,8.121,40.615,51.281,47.579,4.744,54.246,63.435,58.256,4.037,NA,NA,NA,NA,,144.246,153.435,148.256,153.9,302.156,5.273617055,
,40.0760707,-88.24695,SD,,2,8,2021,11,21,08-02-2021_2321,,,,,,1,1,4,8,1593,1612.5,1600.562,8.174,532.167,587,560.479,18.256,0.634,1.068,0.851,0.201,40,69,53.625,9.87,17.183,45.122,31.222,13.027,0,45.122,15.611,18.742,NA,NA,NA,NA,17.183,45.122,31.222,13.027,27.104,42.26,35.449,7.086,77.196,98.366,87.674,8.869,NA,NA,NA,NA,,167.196,188.366,177.674,157.2,334.874,5.844653879,
,40.0760707,-88.24695,SD,,5,8,2021,11,11,08-05-2021_1111,,,,,,1,2,4,8,575,634.5,609.417,18.443,202.167,243.167,222.542,12.536,1.001,1.568,1.201,0.251,31,66,44.5,10.461,26.907,30.17,28.488,1.827,0,30.17,14.244,15.274,NA,NA,NA,NA,26.907,30.17,28.488,1.827,17.158,29.937,24.531,5.411,25.71,48.013,40.177,9.954,NA,NA,NA,NA,,115.71,138.013,130.177,152.6,282.777,4.935389699,
,40.0760707,-88.24695,SD,,26,8,2021,13,33,08-26-2021_1333,,,,,,1,1,4,8,139.5,211,170.062,22.526,448.5,488.5,469.667,18.418,1.068,1.201,1.118,0.058,9,26,17.375,5.476,26.685,37.407,31.584,5.678,0,37.407,15.792,17.287,NA,NA,NA,NA,26.685,37.407,31.584,5.678,22.216,33.972,28.431,6.048,-4.289,8.455,0.706,5.572,NA,NA,NA,NA,,85.711,98.455,90.706,222.9,313.606,5.473457254,
,40.0760707,-88.24695,SD,,26,8,2021,13,33,08-26-2021_1333,,,,,,2,2,4,8,376.5,422.167,397.125,17.471,476.167,489.5,481.667,3.992,0.767,1.435,0.993,0.307,14,42,29,8.452,23.371,38.616,28.628,6.816,0,38.616,14.314,15.94,NA,NA,NA,NA,23.371,38.616,28.628,6.816,17.871,39.908,30.451,9.263,-19.558,15.843,-0.011,15.192,NA,NA,NA,NA,,70.442,105.843,89.989,222.9,312.889,5.460943243,
